name,squad,position,club,tm_id,market_value_eur
Sultan Al-Brake,Qatar,DF,Al-Duhail,336665,
Almoez Ali,Qatar,FW,Al-Duhail,345095,
Salah Zakaria,Qatar,GK,Al-Duhail,632912,
Meshaal Barsham,Qatar,GK,Al-Sadd,560423,
Assim Madibo,Qatar,MF,Al-Wakrah,336667,
Al-Hashmi Al-Hussain,Qatar,DF,Al-Arabi,943150,
Mohamed Manai,Qatar,FW,Al-Shamal,432210,
Gregor Kobel,Switzerland,GK,Borussia Dortmund,257814,
Miro Muheim,Switzerland,DF,Hamburger SV,298603,
Silvan Widmer,Switzerland,DF,Mainz 05,168989,
Nico Elvedi,Switzerland,DF,Borussia Mönchengladbach,192635,
Manuel Akanji,Switzerland,DF,Inter Milan,284730,
Denis Zakaria,Switzerland,MF,Monaco,334526,
Breel Embolo,Switzerland,FW,Rennes,237662,
Remo Freuler,Switzerland,MF,Bologna,148252,
Johan Manzambi,Switzerland,MF,SC Freiburg,927353,
Granit Xhaka,Switzerland,MF,Sunderland,111455,
Dan Ndoye,Switzerland,FW,Nottingham Forest,365108,
Yvon Mvogo,Switzerland,GK,Lorient,147051,
Ardon Jashari,Switzerland,MF,Milan,608172,
Christian Fassnacht,Switzerland,FW,Young Boys,250490,
Rubén Vargas,Switzerland,FW,Sevilla,345886,
Eray Cömert,Switzerland,DF,Valencia,298583,
Noah Okafor,Switzerland,FW,Leeds United,346890,
Michel Aebischer,Switzerland,MF,Pisa,237658,
Zeki Amdouni,Switzerland,FW,Burnley,548729,
Aurèle Amenda,Switzerland,DF,Eintracht Frankfurt,635645,
Luca Jaquez,Switzerland,DF,VfB Stuttgart,539798,
Cedric Itten,Switzerland,FW,Fortuna Düsseldorf,243856,
Alisson,Brazil,GK,Liverpool,229736,
Gabriel Magalhães,Brazil,DF,Arsenal,435338,
Marquinhos,Brazil,DF,Paris Saint-Germain,582301,
Alex Sandro,Brazil,DF,Flamengo,79960,
Vinícius Júnior,Brazil,FW,Real Madrid,371998,
Bremer,Brazil,DF,Juventus,866995,
Fabinho,Brazil,MF,Al-Ittihad,340526,
Danilo Santos,Brazil,MF,Botafogo,1015971,
Endrick,Brazil,FW,Lyon,452164,
Lucas Paquetá,Brazil,MF,Flamengo,444523,
Roger Ibañez,Brazil,DF,Al-Ahli,524481,
Igor Thiago,Brazil,FW,Brentford,739443,
Rayan,Brazil,FW,Bournemouth,1012564,
Johny Placide,Haiti,GK,Bastia,51035,
Carlens Arcus,Haiti,DF,Angers,371686,
Keeto Thermoncy,Haiti,DF,Young Boys,1061046,
Ricardo Adé,Haiti,DF,LDU Quito,278145,
Hannes Delcroix,Haiti,DF,Lugano,338635,
Carl Sainté,Haiti,MF,El Paso Locomotive FC,718244,
Derrick Etienne Jr.,Haiti,FW,Toronto FC,354763,
Martin Expérience,Haiti,DF,Nancy,804885,
Duckens Nazon,Haiti,FW,Esteghlal,345763,
Jean-Ricner Bellegarde,Haiti,MF,Wolverhampton Wanderers,450050,
Louicius Deedson,Haiti,FW,FC Dallas,646108,
Alexandre Pierre,Haiti,GK,Sochaux,838947,
Duke Lacroix,Haiti,DF,Colorado Springs Switchbacks FC,375472,
Garven Metusala,Haiti,DF,Colorado Springs Switchbacks FC,859175,
Ruben Providence,Haiti,FW,Almere City,536520,
Lenny Joseph,Haiti,FW,Ferencváros,815359,
Danley Jean Jacques,Haiti,MF,Philadelphia Union,628834,
Wilson Isidor,Haiti,FW,Sunderland,494237,
Yassin Fortuné,Haiti,FW,Vizela,342878,
Frantzdy Pierrot,Haiti,FW,Çaykur Rizespor,492955,
Josué Casimir,Haiti,FW,Auxerre,763182,
Jean-Kévin Duverne,Haiti,DF,Gent,344864,
Josué Duverger,Haiti,GK,Cosmos Koblenz,490369,
Wilguens Paugain,Haiti,DF,Zulte Waregem,609691,
Dominique Simon,Haiti,MF,Tatran Prešov,988188,
Woodensky Pierre,Haiti,MF,Violette,1017735,
Achraf Hakimi,Morocco,DF,Paris Saint-Germain,398073,
Noussair Mazraoui,Morocco,DF,Manchester United,340456,
Sofyan Amrabat,Morocco,MF,Real Betis,287579,
Marwane Saâdane,Morocco,DF,Al-Fateh,210009,
Ayyoub Bouaddi,Morocco,MF,Lille,1097139,
Chemsdine Talbi,Morocco,MF,Sunderland,743384,
Azzedine Ounahi,Morocco,MF,Girona,593482,
Soufiane Rahimi,Morocco,FW,Al Ain,598506,
Brahim Díaz,Morocco,FW,Real Madrid,314678,
Ismael Saibari,Morocco,MF,PSV Eindhoven,702869,
Zakaria El Ouahdi,Morocco,DF,Genk,820474,
Issa Diop,Morocco,DF,Fulham,272622,
Samir El Mourabet,Morocco,MF,Strasbourg,1130514,
Gessime Yassine,Morocco,MF,Strasbourg,1151929,
Amine Sbaï,Morocco,FW,Angers,851220,
Chadi Riad,Morocco,DF,Crystal Palace,689637,
Youssef Belammari,Morocco,DF,Al Ahly,518804,
Ayoub El Kaabi,Morocco,FW,Olympiacos,521127,
Ayoube Amaimouni,Morocco,FW,Eintracht Frankfurt,799993,
Ahmed Reda Tagnaouti,Morocco,GK,AS FAR,238997,
Bilal El Khannouss,Morocco,MF,VfB Stuttgart,654982,
Neil El Aynaoui,Morocco,MF,Roma,901019,
Redouane Halhal,Morocco,DF,Mechelen,913660,
Anass Salah-Eddine,Morocco,DF,PSV Eindhoven,485584,
Angus Gunn,Scotland,GK,Nottingham Forest,201574,
Aaron Hickey,Scotland,DF,Brentford,591949,
Scott McTominay,Scotland,MF,Napoli,315969,
Grant Hanley,Scotland,DF,Hibernian,121385,
Kieran Tierney,Scotland,DF,Celtic,300716,
John McGinn,Scotland,MF,Aston Villa,193116,
Tyler Fletcher,Scotland,MF,Manchester United,1049911,
Lyndon Dykes,Scotland,FW,Charlton Athletic,347138,
Ché Adams,Scotland,FW,Torino,346779,
Liam Kelly,Scotland,GK,Rangers,1334062,
Ross Stewart,Scotland,FW,Southampton,1485023,
John Souttar,Scotland,DF,Rangers,235767,
Dominic Hyam,Scotland,DF,Wrexham,263268,
Ben Gannon-Doak,Scotland,FW,Bournemouth,719673,
George Hirst,Scotland,FW,Ipswich Town,420808,
Lawrence Shankland,Scotland,FW,Heart of Midlothian,225744,
Nathan Patterson,Scotland,DF,Everton,424015,
Anthony Ralston,Scotland,DF,Celtic,388171,
Findlay Curtis,Scotland,FW,Kilmarnock,1082993,
Scott McKenna,Scotland,DF,Dinamo Zagreb,255906,
Mathew Ryan,Australia,GK,Levante,128969,
Miloš Degenek,Australia,DF,APOEL,187353,
Alessandro Circati,Australia,DF,Parma,867137,
Jacob Italiano,Australia,DF,Grazer AK,545810,
Jordan Bos,Australia,DF,Feyenoord,855731,
Jason Geria,Australia,DF,Albirex Niigata,185175,
Mathew Leckie,Australia,FW,Melbourne City,126214,
Connor Metcalfe,Australia,MF,FC St. Pauli,522223,
Mohamed Touré,Australia,FW,Norwich City,879006,
Awer Mabil,Australia,FW,Castellón,255729,
Paul Izzo,Australia,GK,Randers,181921,
Aiden O'Neill,Australia,MF,New York City FC,385918,
Cammy Devlin,Australia,MF,Heart of Midlothian,399162,
Kai Trewin,Australia,DF,New York City FC,691326,
Aziz Behich,Australia,DF,Melbourne City,136834,
Nestory Irankunda,Australia,FW,Watford,956920,
Patrick Beach,Australia,GK,Melbourne City,983578,
Harry Souttar,Australia,DF,Leicester City,298091,
Cristian Volpato,Australia,FW,Sassuolo,746891,
Cameron Burgess,Australia,DF,Swansea City,255788,
Jackson Irvine,Australia,MF,FC St. Pauli,192557,
Nishan Velupillay,Australia,FW,Melbourne Victory,888140,
Paul Okon-Engstler,Australia,MF,Sydney FC,1064377,
Lucas Herrington,Australia,DF,Colorado Rapids,1279984,
Tete Yengi,Australia,FW,Machida Zelvia,849429,
Gatito Fernández,Paraguay,GK,Cerro Porteño,107318,
Omar Alderete,Paraguay,DF,Sunderland,353032,
Juan José Cáceres,Paraguay,DF,Dynamo Moscow,756494,
Fabián Balbuena,Paraguay,DF,Grêmio,285548,
Júnior Alonso,Paraguay,DF,Atlético Mineiro,273000,
Ramón Sosa,Paraguay,MF,Palmeiras,745191,
Miguel Almirón,Paraguay,MF,Atlanta United FC,272999,
Maurício,Paraguay,MF,Palmeiras,678439,
Orlando Gill,Paraguay,GK,San Lorenzo,643259,
José Canale,Paraguay,DF,Lanús,402627,
Andrés Cubas,Paraguay,MF,Vancouver Whitecaps FC,323872,
Damián Bobadilla,Paraguay,MF,São Paulo,861852,
Kaku,Paraguay,FW,Al Ain,355817,
Álex Arce,Paraguay,FW,Independiente Rivadavia,970518,
Braian Ojeda,Paraguay,MF,Orlando City SC,491596,
Gabriel Ávalos,Paraguay,FW,Independiente,358418,
Gastón Olveira,Paraguay,GK,Olimpia,301722,
Matías Galarza,Paraguay,MF,Atlanta United FC,661269,
Gustavo Caballero,Paraguay,MF,Portsmouth,891672,
Isidro Pitta,Paraguay,FW,Red Bull Bragantino,675178,
Alexandro Maidana,Paraguay,DF,Talleres,1371519,
Mert Günok,Turkey,GK,Fenerbahçe,51894,
Merih Demiral,Turkey,DF,Al-Ahli,340879,
Çağlar Söyüncü,Turkey,DF,Fenerbahçe,320141,
Salih Özcan,Turkey,MF,Borussia Dortmund,244940,
Orkun Kökçü,Turkey,MF,Beşiktaş,454567,
Kerem Aktürkoğlu,Turkey,FW,Fenerbahçe,382528,
Arda Güler,Turkey,FW,Real Madrid,861410,
Hakan Çalhanoğlu,Turkey,MF,Inter Milan,126414,
Kenan Yıldız,Turkey,FW,Juventus,845654,
Altay Bayındır,Turkey,GK,Manchester United,336077,
Eren Elmalı,Turkey,DF,Galatasaray,616894,
Abdülkerim Bardakcı,Turkey,DF,Galatasaray,199316,
Ozan Kabak,Turkey,DF,TSG Hoffenheim,361260,
İsmail Yüksek,Turkey,MF,Fenerbahçe,613725,
İrfan Can Kahveci,Turkey,FW,Kasımpaşa,216603,
Mert Müldür,Turkey,DF,Fenerbahçe,353922,
Yunus Akgün,Turkey,FW,Galatasaray,396908,
Ferdi Kadıoğlu,Turkey,DF,Brighton & Hove Albion,369316,
Barış Alper Yılmaz,Turkey,FW,Galatasaray,541537,
Uğurcan Çakır,Turkey,GK,Galatasaray,292199,
Oğuz Aydın,Turkey,FW,Fenerbahçe,563749,
Samet Akaydin,Turkey,DF,Çaykur Rizespor,295024,
Matt Turner,United States,GK,New England Revolution,425306,
Sergiño Dest,United States,DF,PSV Eindhoven,361104,
Chris Richards,United States,DF,Crystal Palace,578539,
Tyler Adams,United States,MF,Bournemouth,332705,
Antonee Robinson,United States,DF,Fulham,349701,
Auston Trusty,United States,DF,Celtic,389253,
Giovanni Reyna,United States,MF,Borussia Mönchengladbach,504215,
Weston McKennie,United States,MF,Juventus,332697,
Ricardo Pepi,United States,FW,PSV Eindhoven,627207,
Christian Pulisic,United States,FW,Milan,315779,
Brenden Aaronson,United States,FW,Leeds United,393323,
Tim Ream,United States,DF,Charlotte FC,145466,
Sebastian Berhalter,United States,MF,Vancouver Whitecaps FC,734761,
Alex Freeman,United States,DF,Villarreal,985806,
Malik Tillman,United States,MF,Bayer Leverkusen,467437,
Max Arfsten,United States,DF,Columbus Crew,993063,
Haji Wright,United States,FW,Coventry City,315291,
Folarin Balogun,United States,FW,Monaco,503770,
Timothy Weah,United States,FW,Marseille,370846,
Mark McKenzie,United States,DF,Toulouse,685160,
Joe Scally,United States,DF,Borussia Mönchengladbach,504153,
Matt Freese,United States,GK,New York City FC,500309,
Chris Brady,United States,GK,Chicago Fire FC,765504,
Alejandro Zendejas,United States,FW,América,351505,
Eloy Room,Curaçao,GK,Miami FC,79294,
Shurandy Sambo,Curaçao,DF,Sparta Rotterdam,412937,
Juriën Gaari,Curaçao,DF,Abha,328455,
Roshon van Eijma,Curaçao,DF,RKC Waalwijk,401029,
Sherel Floranus,Curaçao,DF,PEC Zwolle,315211,
Godfried Roemeratoe,Curaçao,MF,RKC Waalwijk,393241,
Juninho Bacuna,Curaçao,MF,Volendam,348863,
Livano Comenencia,Curaçao,MF,Zürich,626764,
Jürgen Locadia,Curaçao,FW,Miami FC,166240,
Leandro Bacuna,Curaçao,MF,Iğdır,126014,
Jeremy Antonisse,Curaçao,FW,Kifisia,594273,
Sontje Hansen,Curaçao,FW,Middlesbrough,485582,
Tyrese Noslin,Curaçao,FW,Telstar,708005,
Kenji Gorré,Curaçao,FW,Maccabi Haifa,374889,
Ar'jany Martha,Curaçao,MF,Rotherham United,572519,
Jearl Margaritha,Curaçao,FW,Beveren,538958,
Brandley Kuwas,Curaçao,FW,Volendam,232219,
Armando Obispo,Curaçao,DF,PSV Eindhoven,339337,
Gervane Kastaneer,Curaçao,FW,Terengganu,240752,
Joshua Brenet,Curaçao,DF,Kayserispor,207006,
Tahith Chong,Curaçao,MF,Sheffield United,344830,
Kevin Felida,Curaçao,MF,Den Bosch,433933,
Riechedly Bazoer,Curaçao,DF,Konyaspor,216443,
Deveron Fonville,Curaçao,DF,NEC,708989,
Tyrick Bodak,Curaçao,GK,Telstar,663961,
Trevor Doornbusch,Curaçao,GK,VVV-Venlo,390814,
Hernán Galíndez,Ecuador,GK,Huracán,77127,
Piero Hincapié,Ecuador,DF,Arsenal,659813,
Joel Ordóñez,Ecuador,DF,Club Brugge,893661,
Jordy Alcívar,Ecuador,MF,Independiente del Valle,598145,
Willian Pacho,Ecuador,DF,Paris Saint-Germain,661171,
Pervis Estupiñán,Ecuador,DF,Milan,349599,
Anthony Valencia,Ecuador,MF,Antwerp,974374,
John Yeboah,Ecuador,FW,Venezia,439914,
Kendry Páez,Ecuador,MF,River Plate,1052439,
Kevin Rodríguez,Ecuador,FW,Union Saint-Gilloise,1464917,
Moisés Ramírez,Ecuador,GK,Kifisia,450233,
Enner Valencia,Ecuador,FW,Pachuca,139503,
Alan Minda,Ecuador,MF,Atlético Mineiro,897051,
Pedro Vite,Ecuador,MF,Pumas,659806,
Jordy Caicedo,Ecuador,FW,Huracán,360412,
Ángelo Preciado,Ecuador,DF,Atlético Mineiro,450241,
Denil Castillo,Ecuador,MF,Midtjylland,941418,
Gonzalo Plata,Ecuador,FW,Flamengo,592735,
Nilson Angulo,Ecuador,FW,Sunderland,903611,
Alan Franco,Ecuador,MF,Atlético Mineiro,400960,
Moisés Caicedo,Ecuador,MF,Chelsea,687626,
Jeremy Arévalo,Ecuador,FW,VfB Stuttgart,971663,
Jackson Porozo,Ecuador,DF,Tijuana,491616,
Yaimar Medina,Ecuador,DF,Genk,893659,
Manuel Neuer,Germany,GK,Bayern Munich,17259,
Antonio Rüdiger,Germany,DF,Real Madrid,86202,
Waldemar Anton,Germany,DF,Borussia Dortmund,193004,
Jonathan Tah,Germany,DF,Bayern Munich,196357,
Joshua Kimmich,Germany,DF,Bayern Munich,161056,
Kai Havertz,Germany,FW,Arsenal,309400,
Leon Goretzka,Germany,MF,Bayern Munich,153084,
Jamie Leweling,Germany,MF,VfB Stuttgart,518505,
Jamal Musiala,Germany,MF,Bayern Munich,580195,
Nick Woltemade,Germany,FW,Newcastle United,455661,
Maximilian Beier,Germany,FW,Borussia Dortmund,578392,
Nico Schlotterbeck,Germany,DF,Borussia Dortmund,388198,
Angelo Stiller,Germany,MF,VfB Stuttgart,443710,
Leroy Sané,Germany,MF,Galatasaray,192565,
Nadiem Amiri,Germany,MF,Mainz 05,232454,
Alexander Nübel,Germany,GK,VfB Stuttgart,195778,
David Raum,Germany,DF,RB Leipzig,318204,
Felix Nmecha,Germany,MF,Borussia Dortmund,406640,
Assan Ouédraogo,Germany,MF,RB Leipzig,897424,
Deniz Undav,Germany,FW,VfB Stuttgart,339314,
Yahia Fofana,Ivory Coast,GK,Çaykur Rizespor,418651,
Ousmane Diomande,Ivory Coast,DF,Sporting CP,974982,
Ghislain Konan,Ivory Coast,DF,Gil Vicente,422850,
Jean Michaël Seri,Ivory Coast,MF,Maribor,178614,
Wilfried Singo,Ivory Coast,DF,Galatasaray,648779,
Seko Fofana,Ivory Coast,MF,Porto,182893,
Odilon Kossounou,Ivory Coast,DF,Atalanta,644771,
Franck Kessié,Ivory Coast,MF,Al-Ahli,294808,
Ange-Yoan Bonny,Ivory Coast,FW,Inter Milan,827734,
Simon Adingra,Ivory Coast,FW,Monaco,658536,
Yan Diomande,Ivory Coast,FW,RB Leipzig,1390649,
Elye Wahi,Ivory Coast,FW,Nice,659542,
Christopher Opéri,Ivory Coast,DF,İstanbul Başakşehir,469976,
Amad Diallo,Ivory Coast,FW,Manchester United,536835,
Guéla Doué,Ivory Coast,DF,Strasbourg,711980,
Nicolas Pépé,Ivory Coast,FW,Villarreal,343052,
Emmanuel Agbadou,Ivory Coast,DF,Beşiktaş,683895,
Evan Ndicka,Ivory Coast,DF,Roma,371149,
Evann Guessand,Ivory Coast,FW,Crystal Palace,500689,
Alban Lafont,Ivory Coast,GK,Panathinaikos,357117,
Bazoumana Touré,Ivory Coast,FW,TSG Hoffenheim,1067904,
Christ Inao Oulaï,Ivory Coast,MF,Trabzonspor,1279526,
Zion Suzuki,Japan,GK,Parma,432298,
Yukinari Sugawara,Japan,DF,Werder Bremen,405385,
Shōgo Taniguchi,Japan,DF,Sint-Truiden,991501,
Kō Itakura,Japan,DF,Ajax,355816,
Yūto Nagatomo,Japan,DF,FC Tokyo,79522,
Shuto Machino,Japan,FW,Borussia Mönchengladbach,550580,
Ao Tanaka,Japan,MF,Leeds United,489359,
Takefusa Kubo,Japan,MF,Real Sociedad,405398,
Keisuke Gotō,Japan,FW,Sint-Truiden,916623,
Ritsu Dōan,Japan,MF,Eintracht Frankfurt,358504,
Daizen Maeda,Japan,MF,Celtic,420931,
Keisuke Ōsako,Japan,GK,Sanfrecce Hiroshima,415521,
Junya Itō,Japan,MF,Genk,444096,
Daichi Kamada,Japan,MF,Crystal Palace,356141,
Tsuyoshi Watanabe,Japan,DF,Feyenoord,598791,
Yuito Suzuki,Japan,MF,SC Freiburg,1534090,
Ayase Ueda,Japan,FW,Feyenoord,589128,
Kōki Ogawa,Japan,FW,NEC,1388422,
Ayumu Seko,Japan,DF,Le Havre,405389,
Takehiro Tomiyasu,Japan,DF,Ajax,331560,
Tomoki Hayakawa,Japan,GK,Kashima Antlers,683271,
Kaishū Sano,Japan,MF,Mainz 05,643574,
Junnosuke Suzuki,Japan,DF,Copenhagen,848856,
Kento Shiogai,Japan,FW,VfL Wolfsburg,1144627,
Bart Verbruggen,Netherlands,GK,Brighton & Hove Albion,565093,
Lutsharel Geertruida,Netherlands,DF,Sunderland,420210,
Marten de Roon,Netherlands,MF,Atalanta,133179,
Virgil van Dijk,Netherlands,DF,Liverpool,139208,
Nathan Aké,Netherlands,DF,Manchester City,177476,
Jan Paul van Hecke,Netherlands,DF,Brighton & Hove Albion,576314,
Justin Kluivert,Netherlands,MF,Bournemouth,330659,
Ryan Gravenberch,Netherlands,MF,Liverpool,478573,
Wout Weghorst,Netherlands,FW,Ajax,228645,
Memphis Depay,Netherlands,FW,Corinthians,167850,
Cody Gakpo,Netherlands,FW,Liverpool,434675,
Mats Wieffer,Netherlands,DF,Brighton & Hove Albion,415381,
Robin Roefs,Netherlands,GK,Sunderland,646991,
Tijjani Reijnders,Netherlands,MF,Manchester City,460939,
Micky van de Ven,Netherlands,DF,Tottenham Hotspur,557459,
Guus Til,Netherlands,MF,PSV Eindhoven,372267,
Noa Lang,Netherlands,FW,Galatasaray,339332,
Donyell Malen,Netherlands,FW,Roma,326029,
Brian Brobbey,Netherlands,FW,Sunderland,473169,
Teun Koopmeiners,Netherlands,MF,Juventus,360518,
Frenkie de Jong,Netherlands,MF,Barcelona,326330,
Denzel Dumfries,Netherlands,DF,Inter Milan,321528,
